distance_plan_m,easting_epsg25832,northing_epsg25832,raw_dgm_nhn_m,model_nhn_m,bridge_estimated
313.98152,353981.00597,5578364.95880,624.39261,624.38918,0.00000
315.98141,353979.54261,5578363.59384,624.26990,624.27577,0.00000
317.98129,353978.10021,5578362.20603,624.16861,624.16291,0.00000
319.98117,353976.67236,5578360.80488,624.04758,624.04677,0.00000
321.98105,353975.26904,5578359.38070,623.93077,623.92401,0.00000
323.98094,353973.90034,5578357.92360,623.79513,623.79306,0.00000
325.98082,353972.57057,5578356.42996,623.65886,623.65486,0.00000
327.98070,353971.27743,5578354.90329,623.51195,623.51073,0.00000
329.98058,353970.01829,5578353.34745,623.36616,623.36044,0.00000
331.98046,353968.79050,5578351.76635,623.20591,623.20178,0.00000
333.98035,353967.59140,5578350.16384,623.03906,623.03425,0.00000
335.98023,353966.41824,5578348.54314,622.85847,622.86086,0.00000
337.98011,353965.26811,5578346.90658,622.68981,622.68474,0.00000
339.97999,353964.13812,5578345.25644,622.50403,622.50530,0.00000
341.97988,353963.02534,5578343.59499,622.32655,622.32321,0.00000
343.97976,353961.92691,5578341.92449,622.13665,622.13940,0.00000
345.97964,353960.84107,5578340.24627,621.95997,621.95415,0.00000
347.97952,353959.76727,5578338.56067,621.76048,621.76853,0.00000
349.97941,353958.70501,5578336.86800,621.58876,621.58718,0.00000
351.97929,353957.65381,5578335.16856,621.40511,621.41012,0.00000
353.97917,353956.61318,5578333.46264,621.24062,621.23459,0.00000
355.97905,353955.58262,5578331.75054,621.05407,621.05723,0.00000
357.97893,353954.56165,5578330.03257,620.88112,620.87791,0.00000
359.97882,353953.54978,5578328.30902,620.70326,620.69147,0.00000
361.97870,353952.54651,5578326.58019,620.48875,620.49634,0.00000
363.97858,353951.55135,5578324.84639,620.30346,620.30087,0.00000
365.97846,353950.56382,5578323.10790,620.10775,620.10472,0.00000
367.97835,353949.58342,5578321.36504,619.90408,619.90608,0.00000
369.97823,353948.60966,5578319.61810,619.70619,619.70947,0.00000
371.97811,353947.64206,5578317.86738,619.51445,619.51847,0.00000
373.97799,353946.68012,5578316.11317,619.33496,619.33068,0.00000
375.97788,353945.72334,5578314.35579,619.14221,619.13988,0.00000
377.97776,353944.77126,5578312.59552,618.94560,618.94499,0.00000
379.97764,353943.82336,5578310.83267,618.74543,618.75021,0.00000
381.97752,353942.87916,5578309.06754,618.56242,618.55654,0.00000
383.97741,353941.93817,5578307.30043,618.36005,618.35967,0.00000
385.97729,353940.99990,5578305.53163,618.15864,618.16125,0.00000
387.97717,353940.06386,5578303.76144,617.96326,617.96628,0.00000
389.97705,353939.12956,5578301.99017,617.77470,617.77564,0.00000
391.97693,353938.19650,5578300.21812,617.58943,617.58554,0.00000
393.97682,353937.26421,5578298.44558,617.39292,617.39271,0.00000
395.97670,353936.33218,5578296.67285,617.19421,617.20071,0.00000
397.97658,353935.39993,5578294.90023,617.01722,617.01143,0.00000
399.97646,353934.46696,5578293.12803,616.82148,616.81938,0.00000
401.97635,353933.53279,5578291.35654,616.61878,616.62705,0.00000
403.97623,353932.59692,5578289.58605,616.43989,616.44133,0.00000
405.97611,353931.65887,5578287.81688,616.26495,616.25801,0.00000
407.97599,353930.71815,5578286.04932,616.06431,616.07389,0.00000
409.97588,353929.77426,5578284.28367,615.89717,615.89316,0.00000
411.97576,353928.82671,5578282.52022,615.71463,615.71191,0.00000
413.97564,353927.87501,5578280.75929,615.52485,615.52843,0.00000
415.97552,353926.91868,5578279.00116,615.34683,615.34577,0.00000
417.97540,353925.95722,5578277.24613,615.16798,615.16046,0.00000
419.97529,353924.99014,5578275.49452,614.96409,614.97144,0.00000
421.97517,353924.01696,5578273.74661,614.78556,614.78528,0.00000
